Timestamp [µs],Statusword,Position actual value [Inc],Position demand internal value [Inc],Velocity actual value [RPM],Velocity demand value [RPM],Torque actual value [‰],Torque demand [‰],Position following error [Inc],Velocity following error,Torque following error [‰]
0,55,181516,181516,0,0,0,0,0,0,0
1000,55,181516,181516,0,0,0,0,0,0,0
2000,55,181516,181516,0,0,0,0,0,0,0
3000,55,181516,181516,0,0,0,0,0,0,0
4000,55,181516,181516,0,1,1,1,0,1,0
5000,55,181516,181516,0,4,0,1,0,4,1
6000,55,181516,181516,0,7,0,2,0,7,2
7000,55,181516,181516,0,10,0,3,0,10,3
8000,55,181516,181516,0,13,1,4,0,13,3
9250,55,181516,181516,0,17,3,5,0,17,2
10000,55,181516,181516,0,19,0,6,0,19,6
11000,55,181516,181516,0,22,3,7,0,22,4
12000,55,181516,181516,0,25,5,8,0,25,3
13000,55,181516,181516,0,28,1,9,0,28,8
14000,55,181516,181516,0,31,4,10,0,31,6
15000,55,181516,181516,0,34,3,11,0,34,8
16000,55,181517,181516,0,37,4,12,-1,37,8
17000,55,181517,181516,0,40,4,13,-1,40,9
18000,55,181517,181516,0,43,5,14,-1,43,9
19000,55,181517,181516,0,46,5,15,-1,46,10
20000,55,181517,181516,0,49,9,16,-1,49,7
21000,55,181517,181516,0,52,8,17,-1,52,9
22000,55,181518,181516,0,55,9,18,-2,55,9
23000,55,181518,181516,0,58,9,19,-2,58,10
24250,55,181518,181516,0,62,10,20,-2,62,10
24751,55,181518,181516,0,64,11,21,-2,64,10
26000,55,181519,181516,0,67,14,22,-3,67,8
27000,55,181519,181516,0,70,14,23,-3,70,9
28000,55,181519,181516,0,73,16,25,-3,73,9
28752,55,181520,181516,0,76,18,26,-4,76,8
29750,55,181520,181516,0,79,16,27,-4,79,11
31000,55,181521,181516,0,82,20,28,-5,82,8
32002,55,181522,181516,0,85,21,30,-6,85,9
32750,55,181522,181516,0,88,25,30,-6,88,5
34002,55,181524,181516,0,91,26,32,-8,91,6
35000,55,181525,181516,0,94,28,33,-9,94,5
36000,55,181526,181516,0,97,30,35,-10,97,5
37002,55,181528,181516,0,100,29,36,-12,100,7
38000,55,181529,181516,0,103,29,37,-13,103,8
39000,55,181531,181516,0,106,34,39,-15,106,5
40000,55,181533,181516,0,109,35,40,-17,109,5
41000,55,181534,181516,0,112,35,41,-18,112,6
42000,55,181536,181516,0,115,35,43,-20,115,8
43002,55,181538,181516,0,118,42,44,-22,118,2
44002,55,181540,181516,0,121,42,45,-24,121,3
45250,55,181542,181516,0,125,43,47,-26,125,4
45750,55,181543,181516,0,127,43,48,-27,127,5
47000,55,181546,181516,0,130,48,50,-30,130,2
48000,55,181549,181516,0,133,50,51,-33,133,1
49002,55,181552,181516,0,136,53,53,-36,136,0
50002,55,181556,181516,0,139,52,54,-40,139,2
51000,55,181559,181516,1,142,49,56,-43,141,7
52000,55,181563,181516,1,145,55,57,-47,144,2
53000,55,181567,181516,1,148,57,58,-51,147,1
54002,55,181572,181516,1,151,57,60,-56,150,3
55002,55,181577,181516,2,154,59,61,-61,152,2
56002,55,181582,181516,2,157,60,63,-66,155,3
57002,55,181588,181516,3,160,59,64,-72,157,5
58002,55,181594,181516,3,163,62,66,-78,160,4
59002,55,181601,181516,4,166,63,67,-85,162,4
60002,55,181608,181516,5,169,64,69,-92,164,5
61002,55,181616,181516,6,172,67,70,-100,166,3
62002,55,181624,181516,7,175,65,71,-108,168,6
62753,55,181631,181516,8,178,67,72,-115,170,5
64003,55,181642,181516,9,181,72,74,-126,172,2
65002,55,181651,181516,11,184,70,75,-135,173,5
66003,55,181661,181516,12,187,73,77,-145,175,4
67003,55,181671,181516,14,190,74,78,-155,176,4
68002,55,181681,181516,15,193,74,79,-165,178,5
69003,55,181692,181516,16,196,76,81,-176,180,5
70003,55,181703,181516,17,199,79,82,-187,182,3
71002,55,181713,181516,18,202,78,84,-197,184,6
71753,55,181722,181516,19,205,81,85,-206,186,4
73003,55,181736,181516,20,208,83,87,-220,188,4
74003,55,181747,181516,20,211,86,88,-231,191,2
75003,55,181757,181516,20,214,88,90,-241,194,2
76002,55,181767,181516,19,217,92,92,-251,198,0
77003,55,181777,181516,18,220,87,94,-261,202,7
78002,55,181785,181516,17,223,96,96,-269,206,0
79001,55,181794,181516,15,226,98,99,-278,211,1
80001,55,181802,181516,14,229,97,101,-286,215,4
81001,55,181810,181516,13,232,99,103,-294,219,4
82003,55,181819,181516,12,235,101,105,-303,223,4
83001,55,181827,181516,12,238,102,107,-311,226,5
84003,55,181836,181516,12,241,107,109,-320,229,2
85003,55,181846,181516,13,244,109,111,-330,231,2
86003,55,181856,181516,14,247,111,112,-340,233,1
87002,55,181866,181516,16,250,111,114,-350,234,3
88003,55,181878,181516,17,253,109,115,-362,236,6
89003,55,181889,181516,19,256,113,117,-373,237,4
90003,55,181901,181516,22,259,113,118,-385,237,5
91004,55,181914,181516,26,262,121,119,-398,236,-2
92003,55,181928,181516,29,265,118,120,-412,236,2
93005,55,181943,181516,34,268,121,121,-427,234,0
94005,55,181958,181516,39,271,125,122,-442,232,-3
95005,55,181973,181516,43,274,121,122,-457,231,1
96005,55,181990,181516,47,277,118,123,-474,230,5
97005,55,182008,181516,52,280,123,124,-492,228,1
98005,55,182026,181516,56,283,123,125,-510,227,2
99005,55,182045,181516,59,286,126,126,-529,227,0
100005,55,182065,181516,63,289,125,127,-549,226,2
101005,55,182086,181516,66,292,126,128,-570,226,2
102005,55,182108,181516,70,295,127,129,-592,225,2
103005,55,182132,181516,74,298,130,130,-616,224,0
104005,55,182156,181516,78,301,133,130,-640,223,-3
105005,55,182181,181516,82,304,127,131,-665,222,4
106005,55,182208,181516,85,307,130,132,-692,222,2
107005,55,182236,181516,90,310,128,133,-720,220,5
108005,55,182264,181516,94,313,132,134,-748,219,2
109005,55,182294,181516,98,316,132,135,-778,218,3
110005,55,182326,181516,102,319,130,135,-810,217,5
111005,55,182358,181516,106,322,133,136,-842,216,3
112005,55,182392,181516,111,325,131,137,-876,214,6
113005,55,182427,181516,115,328,133,137,-911,213,4
114005,55,182464,181516,120,331,133,138,-948,211,5
115006,55,182501,181516,125,334,133,138,-985,209,5
116006,55,182541,181516,130,337,141,139,-1025,207,-2
117005,55,182582,181516,135,340,138,139,-1066,205,1
118005,55,182625,181516,141,343,135,140,-1109,202,5
119005,55,182670,181516,147,346,141,140,-1154,199,-1
120005,55,182716,181516,153,349,143,140,-1200,196,-3
120756,55,182752,181516,157,351,137,140,-1236,194,3
122005,55,182815,181516,165,355,138,140,-1299,190,2
123006,55,182866,181516,171,358,137,140,-1350,187,3
124006,55,182919,181516,177,361,135,140,-1403,184,5
125005,55,182973,181516,182,364,138,141,-1457,182,3
126006,55,183028,181516,187,367,140,141,-1512,180,1
127005,55,183084,181516,192,370,140,141,-1568,178,1
128006,55,183142,181516,197,373,141,142,-1626,176,1
129005,55,183200,181516,201,376,142,142,-1684,175,0
130005,55,183259,181516,205,379,145,143,-1743,174,-2
131005,55,183319,181516,208,382,140,144,-1803,174,4
132005,55,183379,181516,212,385,137,144,-1863,173,7
133005,55,183440,181516,215,388,141,145,-1924,173,4
134006,55,183503,181516,218,391,140,146,-1987,173,6
135005,55,183565,181516,221,394,140,147,-2049,173,7
136006,55,183629,181516,224,397,145,148,-2113,173,3
137005,55,183693,181516,227,400,146,149,-2177,173,3
138006,55,183759,181516,230,403,151,149,-2243,173,-2
139005,55,183825,181516,234,406,149,150,-2309,172,1
140006,55,183894,181516,238,409,146,151,-2378,171,5
141006,55,183964,181516,243,412,143,151,-2448,169,8
142006,55,184036,181516,248,415,149,151,-2520,167,2
143006,55,184109,181516,253,418,155,152,-2593,165,-3
144006,55,184183,181516,257,421,150,152,-2667,164,2
145005,55,184259,181516,263,424,155,152,-2743,161,-3
146005,55,184336,181516,268,427,157,152,-2820,159,-5
147006,55,184415,181516,273,430,156,152,-2899,157,-4
148006,55,184495,181516,279,433,149,153,-2979,154,4
149006,55,184577,181516,284,436,147,153,-3061,152,6
150006,55,184659,181516,288,439,149,153,-3143,151,4
151005,55,184743,181516,293,442,154,153,-3227,149,-1
152005,55,184827,181516,297,445,155,154,-3311,148,-1
153006,55,184913,181516,301,448,154,154,-3397,147,0
154006,55,184999,181516,305,451,149,155,-3483,146,6
155006,55,185087,181516,309,454,150,155,-3571,145,5
156006,55,185175,181516,313,457,150,156,-3659,144,6
157006,55,185265,181516,317,460,151,156,-3749,143,5
158006,55,185356,181516,321,463,155,157,-3840,142,2
159006,55,185448,181516,325,466,155,157,-3932,141,2
160006,55,185543,181516,330,469,152,157,-4027,139,5
160756,55,185614,181516,334,471,149,157,-4098,137,8
162006,55,185735,181516,340,475,157,157,-4219,135,0
163006,55,185832,181516,345,478,154,158,-4316,133,4
164006,55,185931,181516,349,481,156,158,-4415,132,2
165006,55,186031,181516,353,484,157,158,-4515,131,1
166005,55,186133,181516,358,487,156,158,-4617,129,2
167006,55,186236,181516,363,490,154,159,-4720,127,5
168005,55,186339,181516,367,493,156,159,-4823,126,3
169005,55,186444,181516,372,496,159,159,-4928,124,0
170006,55,186551,181516,376,499,157,159,-5035,123,2
171006,55,186658,181516,381,502,155,159,-5142,121,4
172005,55,186767,181516,385,505,154,160,-5251,120,6
173005,55,186878,181516,390,508,157,160,-5362,118,3
174005,55,186989,181516,395,511,159,160,-5473,116,1
175006,55,187101,181516,399,514,162,160,-5585,115,-2
176006,55,187215,181516,403,517,154,160,-5699,114,6
177005,55,187330,181516,407,520,157,160,-5814,113,3
178006,55,187445,181516,412,523,159,161,-5929,111,2
179006,55,187562,181516,416,526,160,161,-6046,110,1
180006,55,187680,181516,420,529,159,161,-6164,109,2
181006,55,187799,181516,424,532,160,161,-6283,108,1
182006,55,187920,181516,429,535,155,161,-6404,106,6
183006,55,188043,181516,434,538,160,161,-6527,104,1
184006,55,188166,181516,438,541,164,161,-6650,103,-3
185006,55,188291,181516,443,544,157,162,-6775,101,5
186006,55,188417,181516,448,547,159,162,-6901,99,3
187006,55,188544,181516,452,550,159,162,-7028,98,3
188006,55,188672,181516,456,553,159,162,-7156,97,3
189006,55,188800,181516,460,556,161,162,-7284,96,1
190006,55,188930,181516,464,559,159,162,-7414,95,3
191006,55,189061,181516,468,562,159,163,-7545,94,4
192006,55,189193,181516,472,565,164,163,-7677,93,-1
193006,55,189327,181516,476,568,161,163,-7811,92,2
194006,55,189462,181516,482,571,157,163,-7946,89,6
195006,55,189599,181516,487,574,159,163,-8083,87,4
196006,55,189737,181516,491,577,162,162,-8221,86,0
197006,55,189878,181516,496,580,161,162,-8362,84,1
198006,55,190017,181516,500,582,160,163,-8501,82,3
199006,55,190158,181516,504,586,160,163,-8642,82,3
200006,55,190299,181516,507,589,161,163,-8783,82,2
201006,55,190442,181516,511,592,164,163,-8926,81,-1
202006,55,190585,181516,515,595,156,163,-9069,80,7
203006,55,190730,181516,519,598,162,164,-9214,79,2
204006,55,190877,181516,523,601,166,164,-9361,78,-2
205006,55,191025,181516,528,604,157,163,-9509,76,6
206006,55,191174,181516,533,607,159,163,-9658,74,4
207006,55,191324,181516,537,610,162,163,-9808,73,1
208006,55,191475,181516,541,613,162,163,-9959,72,1
209006,55,191627,181516,545,616,161,164,-10111,71,3
210006,55,191779,181516,548,619,157,164,-10263,71,7
211006,55,191933,181516,552,622,164,164,-10417,70,0
212006,55,192087,181516,555,625,160,164,-10571,70,4
213006,55,192243,181516,559,628,157,164,-10727,69,7
214006,55,192400,181516,563,631,164,164,-10884,68,0
215006,55,192559,181516,568,634,166,164,-11043,66,-2
216006,55,192718,181516,572,637,160,164,-11202,65,4
216756,55,192838,181516,575,639,160,164,-11322,64,4
218006,55,193039,181516,579,643,164,165,-11523,64,1
219006,55,193201,181516,582,646,162,165,-11685,64,3
220006,55,193364,181516,586,649,160,165,-11848,63,5
221006,55,193527,181516,589,652,162,165,-12011,63,3
222006,55,193693,181516,593,655,160,165,-12177,62,5
223006,55,193859,181516,597,658,165,165,-12343,61,0
224006,55,194026,181516,601,661,165,165,-12510,60,0
225006,55,194195,181516,605,664,165,165,-12679,59,0
226006,55,194364,181516,609,667,159,165,-12848,58,6
227006,55,194535,181516,613,670,164,165,-13019,57,1
228006,55,194706,181516,617,673,164,166,-13190,56,2
229006,55,194878,181516,620,676,162,166,-13362,56,4
230006,55,195052,181516,624,679,162,166,-13536,55,4
231006,55,195226,181516,628,682,162,166,-13710,54,4
232006,55,195402,181516,632,685,162,166,-13886,53,4
233006,55,195579,181516,636,688,159,166,-14063,52,7
234005,55,195756,181516,639,691,164,166,-14240,52,2
235006,55,195934,181516,642,694,164,166,-14418,52,2
236006,55,196114,181516,646,697,160,166,-14598,51,6
237006,55,196249,181516,649,699,164,166,-14733,50,2
238006,55,196476,181516,654,703,166,166,-14960,49,0
239006,55,196658,181516,658,706,164,166,-15142,48,2
240006,55,196842,181516,661,709,164,166,-15326,48,2
241006,55,197026,181516,664,712,165,167,-15510,48,2
242006,55,197211,181516,668,715,165,167,-15695,47,2
243006,55,197397,181516,671,718,167,167,-15881,47,0
244006,55,197585,181516,676,721,164,167,-16069,45,3
245006,55,197774,181516,680,724,169,166,-16258,44,-3
246006,55,197965,181516,684,727,167,166,-16449,43,-1
247006,55,198156,181516,689,730,164,166,-16640,41,2
248006,55,198348,181516,692,733,162,166,-16832,41,4
249006,55,198540,181516,695,736,167,166,-17024,41,-1
250006,55,198733,181516,698,739,161,167,-17217,41,6
251006,55,198928,181516,702,742,162,167,-17412,40,5
252006,55,199124,181516,706,745,166,167,-17608,39,1
253006,55,199321,181516,710,748,166,166,-17805,38,0
254006,55,199520,181516,715,751,162,166,-18004,36,4
255006,55,199720,181516,719,754,166,166,-18204,35,0
256006,55,199920,181516,722,757,164,166,-18404,35,2
257006,55,200120,181516,725,760,167,166,-18604,35,-1
258006,55,200321,181516,728,763,161,167,-18805,35,6
259006,55,200523,181516,731,766,165,167,-19007,35,2
260006,55,200727,181516,735,769,169,167,-19211,34,-2
261006,55,200932,181516,739,772,165,166,-19416,33,1
262006,55,201138,181516,743,775,165,166,-19622,32,1
263006,55,201345,181516,746,778,165,166,-19829,32,1
264006,55,201553,181516,750,781,159,166,-20037,31,7
265006,55,201761,181516,753,784,164,167,-20245,31,3
266006,55,201971,181516,757,787,161,166,-20455,30,5
267006,55,202181,181516,761,790,160,166,-20665,29,6
268006,55,202393,181516,765,793,164,166,-20877,28,2
269006,55,202606,181516,768,796,161,166,-21090,28,5
270006,55,202820,181516,772,799,161,166,-21304,27,5
271006,55,203034,181516,775,802,165,166,-21518,27,1
272005,55,203250,181516,779,805,164,166,-21734,26,2
273006,55,203466,181516,782,808,166,166,-21950,26,0
274005,55,203684,181516,786,811,160,166,-22168,25,6
275256,55,203956,181516,790,815,165,166,-22440,25,1
275756,55,204066,181516,792,816,166,166,-22550,24,0
277006,55,204341,181516,796,820,167,166,-22825,24,-1
278006,55,204562,181516,800,823,167,166,-23046,23,-1
279006,55,204784,181516,803,826,164,166,-23268,23,2
280006,55,205007,181516,806,829,161,166,-23491,23,5
281006,55,205230,181516,809,832,159,166,-23714,23,7
282006,55,205454,181516,812,835,164,167,-23938,23,3
283006,55,205679,181516,814,838,169,167,-24163,24,-2
284006,55,205906,181516,819,841,161,167,-24390,22,6
285006,55,206133,181516,822,844,166,166,-24617,22,0
286006,55,206362,181516,826,847,165,166,-24846,21,1
287006,55,206591,181516,830,850,161,166,-25075,20,5
288006,55,206820,181516,832,853,169,167,-25304,21,-2
289006,55,207051,181516,835,856,164,167,-25535,21,3
290005,55,207282,181516,838,859,171,167,-25766,21,-4
291005,55,207515,181516,842,862,165,167,-25999,20,2
292006,55,207749,181516,845,865,166,167,-26233,20,1
293006,55,207984,181516,849,868,164,167,-26468,19,3
294006,55,208219,181516,852,871,157,167,-26703,19,10
295255,55,208514,181516,856,875,162,167,-26998,19,5
296006,55,208692,181516,859,877,166,167,-27176,18,1
297005,55,208929,181516,861,880,169,167,-27413,19,-2
298006,55,209169,181516,865,883,164,167,-27653,18,3
299005,55,209407,181516,868,886,165,167,-27891,18,2
300006,55,209647,181516,870,889,161,167,-28131,19,6
301005,55,209888,181516,873,892,166,167,-28372,19,1
302006,55,210129,181516,876,895,167,167,-28613,19,0
303006,55,210372,181516,879,898,170,167,-28856,19,-3
304006,55,210615,181516,882,901,170,168,-29099,19,-2
305006,55,210860,181516,886,904,166,167,-29344,18,1
306006,55,211105,181516,889,907,165,168,-29589,18,3
307006,55,211351,181516,892,910,167,168,-29835,18,1
308006,55,211598,181516,895,913,166,168,-30082,18,2
309006,55,211846,181516,898,916,166,168,-30330,18,2
310006,55,212094,181516,901,919,166,168,-30578,18,2
311006,55,212344,181516,904,922,167,168,-30828,18,1
312006,55,212594,181516,908,925,164,168,-31078,17,4
313006,55,212846,181516,911,928,169,168,-31330,17,-1
314006,55,213098,181516,915,931,167,168,-31582,16,1
315256,55,213413,181516,917,935,167,168,-31897,18,1
316006,55,213603,181516,919,937,170,168,-32087,18,-2
317006,55,213857,181516,921,940,171,169,-32341,19,-2
318006,55,214112,181516,925,943,169,169,-32596,18,0
319006,55,214368,181516,928,946,170,169,-32852,18,-1
320005,55,214625,181516,932,949,160,168,-33109,17,8
321006,55,214882,181516,934,952,165,169,-33366,18,4
322006,55,215140,181516,937,955,166,169,-33624,18,3
323006,55,215399,181516,940,958,162,169,-33883,18,7
324006,55,215660,181516,944,961,164,169,-34144,17,5
325006,55,215921,181516,947,964,165,169,-34405,17,4
326006,55,216183,181516,950,967,164,169,-34667,17,5
327006,55,216445,181516,953,970,166,169,-34929,17,3
328006,55,216709,181516,956,973,164,169,-35193,17,5
329006,55,216973,181516,959,976,166,169,-35457,17,3
330006,55,217238,181516,962,979,175,169,-35722,17,-6
331006,55,217504,181516,965,982,166,169,-35988,17,3
332006,55,217771,181516,968,985,165,169,-36255,17,4
333006,55,218038,181516,971,988,162,170,-36522,17,8
334006,55,218306,181516,973,991,165,170,-36790,18,5
335006,55,218575,181516,976,994,169,170,-37059,18,1
336005,55,218845,181516,979,997,169,170,-37329,18,1
337006,55,219116,181516,983,1000,167,170,-37600,17,3
338006,55,219387,181516,986,1003,169,170,-37871,17,1
339006,55,219660,181516,989,1006,162,170,-38144,17,8
340006,55,219933,181516,992,1009,172,170,-38417,17,-2
341006,55,220206,181516,994,1012,169,170,-38690,18,1
342006,55,220481,181516,997,1015,175,171,-38965,18,-4
343006,55,220756,181516,1000,1018,169,171,-39240,18,2
344006,55,221033,181516,1003,1021,175,171,-39517,18,-4
345006,55,221311,181516,1007,1024,169,171,-39795,17,2
346006,55,221588,181516,1009,1027,166,171,-40072,18,5
347006,55,221867,181516,1012,1030,162,171,-40351,18,9
348006,55,222146,181516,1014,1033,171,171,-40630,19,0
349006,55,222426,181516,1018,1036,166,171,-40910,18,5
350006,55,222706,181516,1020,1039,171,171,-41190,19,0
351006,55,222989,181516,1023,1042,166,172,-41473,19,6
352006,55,223271,181516,1026,1045,165,172,-41755,19,7
353256,55,223625,181516,1029,1049,169,172,-42109,20,3
353756,55,223767,181516,1031,1050,172,172,-42251,19,0
355006,55,224124,181516,1036,1054,174,172,-42608,18,-2
356006,55,224410,181516,1039,1057,170,172,-42894,18,2
357006,55,224696,181516,1041,1060,164,172,-43180,19,8
358006,55,224984,181516,1045,1063,166,172,-43468,18,6
359005,55,225274,181516,1048,1066,175,172,-43758,18,-3
360006,55,225563,181516,1052,1069,167,172,-44047,17,5
361006,55,225853,181516,1055,1072,171,172,-44337,17,1
362006,55,226144,181516,1057,1075,169,172,-44628,18,3
363006,55,226435,181516,1059,1078,169,173,-44919,19,4
364006,55,226728,181516,1062,1081,167,173,-45212,19,6
365006,55,227021,181516,1065,1084,176,173,-45505,19,-3
366006,55,227315,181516,1068,1087,171,173,-45799,19,2
367006,55,227610,181516,1072,1090,175,173,-46094,18,-2
368006,55,227906,181516,1075,1093,165,173,-46390,18,8
369006,55,228203,181516,1078,1096,170,173,-46687,18,3
370006,55,228501,181516,1081,1099,169,173,-46985,18,4
371006,55,228799,181516,1084,1102,167,173,-47283,18,6
372006,55,229099,181516,1087,1105,171,173,-47583,18,2
373006,55,229399,181516,1091,1108,170,173,-47883,17,3
374006,55,229701,181516,1094,1111,174,173,-48185,17,-1
375006,55,230001,181516,1096,1114,169,173,-48485,18,4
376006,55,230304,181516,1099,1117,179,174,-48788,18,-5
377006,55,230607,181516,1102,1120,172,174,-49091,18,2
378006,55,230911,181516,1105,1123,175,174,-49395,18,-1
379006,55,231216,181516,1108,1126,169,174,-49700,18,5
380006,55,231521,181516,1110,1129,170,174,-50005,19,4
381006,55,231828,181516,1113,1132,170,174,-50312,19,4
382006,55,232135,181516,1117,1135,177,174,-50619,18,-3
383006,55,232444,181516,1120,1138,171,174,-50928,18,3
384006,55,232753,181516,1123,1141,170,174,-51237,18,4
385006,55,233063,181516,1126,1144,171,174,-51547,18,3
386006,55,233373,181516,1129,1147,172,175,-51857,18,3
387006,55,233686,181516,1133,1150,176,174,-52170,17,-2
388006,55,233998,181516,1136,1153,171,174,-52482,17,3
389006,55,234312,181516,1139,1156,171,175,-52796,17,4
390006,55,234626,181516,1142,1159,171,175,-53110,17,4
391006,55,234940,181516,1144,1162,175,175,-53424,18,0
392006,55,235255,181516,1147,1165,172,175,-53739,18,3
393006,55,235571,181516,1149,1168,167,175,-54055,19,8
394006,55,235888,181516,1152,1171,172,176,-54372,19,4
395006,55,236206,181516,1155,1174,170,176,-54690,19,6
396006,55,236524,181516,1158,1177,174,176,-55008,19,2
397006,55,236844,181516,1161,1180,174,176,-55328,19,2
398006,55,237164,181516,1163,1183,170,176,-55648,20,6
399006,55,237484,181516,1166,1186,175,176,-55968,20,1
400005,55,237806,181516,1170,1189,170,176,-56290,19,6
401006,55,238128,181516,1172,1192,170,176,-56612,20,6
402006,55,238451,181516,1175,1195,180,177,-56935,20,-3
403006,55,238775,181516,1178,1198,175,177,-57259,20,2
404006,55,239100,181516,1181,1201,179,177,-57584,20,-2
405256,55,239507,181516,1184,1204,175,177,-57991,20,2
406006,55,239752,181516,1187,1207,170,177,-58236,20,7
407006,55,240078,181516,1189,1210,181,177,-58562,21,-4
408006,55,240407,181516,1192,1213,179,177,-58891,21,-2
409006,55,240736,181516,1196,1216,174,177,-59220,20,3
410006,55,241066,181516,1199,1219,169,177,-59550,20,8
411006,55,241397,181516,1202,1222,170,177,-59881,20,7
412006,55,241729,181516,1205,1225,177,177,-60213,20,0
413006,55,242062,181516,1209,1228,171,177,-60546,19,6
414006,55,242395,181516,1212,1231,171,177,-60879,19,6
415006,55,242730,181516,1216,1234,177,177,-61214,18,0
416006,55,243064,181516,1218,1237,175,178,-61548,19,3
417005,55,243401,181516,1221,1240,184,178,-61885,19,-6
418006,55,243737,181516,1225,1243,176,177,-62221,18,1
419006,55,244074,181516,1227,1246,171,178,-62558,19,7
420006,55,244413,181516,1230,1249,177,178,-62897,19,1
421006,55,244752,181516,1233,1252,180,178,-63236,19,-2
422006,55,245092,181516,1236,1255,179,178,-63576,19,-1
423006,55,245434,181516,1240,1258,171,178,-63918,18,7
424006,55,245776,181516,1243,1261,172,178,-64260,18,6
425006,55,246120,181516,1247,1264,177,178,-64604,17,1
426006,55,246463,181516,1250,1267,177,178,-64947,17,1
427006,55,246808,181516,1254,1270,174,178,-65292,16,4
428006,55,247153,181516,1256,1273,179,178,-65637,17,-1
429006,55,247500,181516,1259,1276,176,178,-65984,17,2
430006,55,247847,181516,1262,1279,174,178,-66331,17,4
431006,55,248194,181516,1264,1282,172,178,-66678,18,6
432006,55,248543,181516,1268,1285,179,179,-67027,17,0
433006,55,248893,181516,1271,1288,179,178,-67377,17,-1
434006,55,249243,181516,1274,1291,174,179,-67727,17,5
435006,55,249595,181516,1278,1294,169,178,-68079,16,9
436006,55,249948,181516,1281,1297,182,178,-68432,16,-4
437006,55,250301,181516,1285,1300,175,178,-68785,15,3
438006,55,250655,181516,1288,1303,172,178,-69139,15,6
439006,55,251010,181516,1291,1306,172,178,-69494,15,6
440006,55,251366,181516,1294,1309,177,179,-69850,15,2
441006,55,251722,181516,1297,1312,179,179,-70206,15,0
442006,55,252079,181516,1299,1315,179,179,-70563,16,0
443006,55,252347,181516,1301,1317,181,179,-70831,16,-2
444006,55,252795,181516,1304,1321,177,179,-71279,17,2
445006,55,253154,181516,1307,1324,177,179,-71638,17,2
446006,55,253515,181516,1310,1327,175,179,-71999,17,4
447006,55,253875,181516,1313,1330,181,179,-72359,17,-2
448006,55,254238,181516,1317,1333,176,179,-72722,16,3
449006,55,254601,181516,1320,1336,179,179,-73085,16,0
450006,55,254965,181516,1323,1339,182,179,-73449,16,-3
451006,55,255329,181516,1326,1342,176,180,-73813,16,4
452006,55,255695,181516,1329,1345,177,180,-74179,16,3
453006,55,256060,181516,1332,1348,180,180,-74544,16,0
454006,55,256427,181516,1334,1351,180,180,-74911,17,0
455006,55,256794,181516,1337,1354,182,180,-75278,17,-2
456006,55,257163,181516,1341,1357,177,180,-75647,16,3
457006,55,257532,181516,1343,1360,172,180,-76016,17,8
458006,55,257904,181516,1347,1363,170,180,-76388,16,10
459006,55,258275,181516,1350,1366,180,180,-76759,16,0
460006,55,258649,181516,1355,1369,179,180,-77133,14,1
461006,55,259021,181516,1358,1372,174,180,-77505,14,6
462006,55,259396,181516,1361,1375,180,180,-77880,14,0
463006,55,259770,181516,1364,1378,182,180,-78254,14,-2
464006,55,260146,181516,1367,1381,179,180,-78630,14,1
465006,55,260522,181516,1370,1384,177,180,-79006,14,3
466006,55,260900,181516,1373,1387,179,180,-79384,14,1
467006,55,261278,181516,1376,1390,172,180,-79762,14,8
468006,55,261657,181516,1379,1393,179,180,-80141,14,1
469006,55,262038,181516,1383,1396,181,180,-80522,13,-1
470006,55,262418,181516,1385,1399,181,180,-80902,14,-1
471006,55,262801,181516,1389,1402,179,180,-81285,13,1
472006,55,263183,181516,1392,1405,177,180,-81667,13,3
473006,55,263567,181516,1396,1408,188,180,-82051,12,-8
474006,55,263951,181516,1399,1411,172,180,-82435,12,8
475006,55,264335,181516,1401,1414,175,181,-82819,13,6
476006,55,264721,181516,1403,1417,181,181,-83205,14,0
477006,55,265107,181516,1406,1420,176,181,-83591,14,5
478006,55,265495,181516,1410,1423,174,181,-83979,13,7
479006,55,265883,181516,1412,1426,175,181,-84367,14,6
480006,55,266272,181516,1415,1429,181,181,-84756,14,0
481006,55,266661,181516,1418,1432,180,181,-85145,14,1
482006,55,267052,181516,1421,1435,177,181,-85536,14,4
483006,55,267445,181516,1425,1438,180,181,-85929,13,1
484006,55,267836,181516,1428,1441,179,181,-86320,13,2
485006,55,268230,181516,1431,1444,176,181,-86714,13,5
486006,55,268621,181516,1432,1447,180,182,-87105,15,2
487006,55,269016,181516,1436,1450,179,182,-87500,14,3
488006,55,269411,181516,1438,1453,184,182,-87895,15,-2
489006,55,269806,181516,1440,1456,175,182,-88290,16,7
490006,55,270203,181516,1443,1459,188,182,-88687,16,-6
491006,55,270600,181516,1446,1462,177,182,-89084,16,5
492006,55,270998,181516,1449,1465,186,183,-89482,16,-3
493006,55,271397,181516,1452,1468,175,182,-89881,16,7
494006,55,271797,181516,1455,1471,185,182,-90281,16,-3
494756,55,272097,181516,1457,1473,179,183,-90581,16,4
496006,55,272598,181516,1460,1477,181,183,-91082,17,2
497006,55,273000,181516,1463,1480,185,183,-91484,17,-2
498006,55,273402,181516,1466,1483,179,183,-91886,17,4
499006,55,273806,181516,1469,1486,174,183,-92290,17,9
500006,55,274211,181516,1472,1489,180,183,-92695,17,3
501006,55,274615,181516,1475,1492,184,183,-93099,17,-1
502006,55,275022,181516,1479,1495,179,183,-93506,16,4
503006,55,275429,181516,1482,1498,176,183,-93913,16,7
